level,wilayah,variabel,tahun,forecast,lower,upper,resid_std_insample
kabkota,Kota Malang,TPAK,2027,68.01,62.12,73.89,2.123
kabkota,Kota Malang,TPAK,2028,68.27,61.06,75.48,2.123
kabkota,Kota Mojokerto,TPAK,2026,70.84,67.11,74.57,1.903
kabkota,Kota Mojokerto,TPAK,2027,70.86,65.58,76.13,1.903
kabkota,Kota Mojokerto,TPAK,2028,70.87,64.41,77.33,1.903
kabkota,Kota Pasuruan,TPAK,2026,73.59,69.7,77.48,1.986
kabkota,Kota Pasuruan,TPAK,2027,74.1,68.6,79.61,1.986
kabkota,Kota Pasuruan,TPAK,2028,74.61,67.87,81.35,1.986
kabkota,Kota Probolinggo,TPAK,2026,69.17,65.84,72.5,1.699
kabkota,Kota Probolinggo,TPAK,2027,69.45,64.74,74.16,1.699
kabkota,Kota Probolinggo,TPAK,2028,69.73,63.96,75.5,1.699
kabkota,Kota Surabaya,TPAK,2026,70.66,68.19,73.13,1.261
kabkota,Kota Surabaya,TPAK,2027,71.04,67.55,74.54,1.261
kabkota,Kota Surabaya,TPAK,2028,71.43,67.15,75.71,1.261
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPAK,2026,75.32,73.84,76.8,0.754
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPAK,2027,76.26,74.17,78.35,0.754
provinsi,Jawa Timur (rata-rata 38 kab/kota),TPAK,2028,77.19,74.63,79.75,0.754
